checkpoint,task,episode_id,block,metric,horizon_idx,value
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,motion_token,mse_at_horizon_idx,37,0.32025146484375
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,motion_token,mse_at_horizon_idx,38,0.32237932085990906
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,motion_token,mse_at_horizon_idx,39,0.32114943861961365
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse,-1,0.2517234683036804
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mae,-1,0.4231199026107788
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,normalized_mse,-1,1.5499646663665771
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,final_position_error,-1,1.0240663290023804
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mean_squared_jerk_pred,-1,0.001437604078091681
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mean_squared_jerk_gt,-1,0.00014900689711794257
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,jerk_ratio_pred_over_gt,-1,9.64790292192839
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,chunk_boundary_discontinuity,-1,0.0029590039048343897
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_proprio_ablated,-1,0.2517138719558716
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,proprio_leakage_gap,-1,-9.59634780883789e-06
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,0,0.2501431405544281
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,1,0.25057893991470337
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,2,0.25306421518325806
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,3,0.2520197629928589
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,4,0.2532002329826355
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,5,0.25180160999298096
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,6,0.25113189220428467
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,7,0.25348812341690063
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,8,0.24890334904193878
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,9,0.25325265526771545
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,10,0.2514091432094574
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,11,0.2507662773132324
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,12,0.25154489278793335
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,13,0.25404852628707886
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,14,0.25272026658058167
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,15,0.25226765871047974
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,16,0.2513056695461273
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,17,0.2504580020904541
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,18,0.24819034337997437
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,19,0.2493860423564911
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,20,0.24908176064491272
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,21,0.2488231360912323
R0_base_ACT_handsin,bottle_cupnoodles_shelf,0,right_hand_joints,mse_at_horizon_idx,22,0.24901577830314636
