checkpoint,policy,config,scope,block,n_eps,mse,mae,normalized_mse,final_position_error,mean_squared_jerk_pred,mean_squared_jerk_gt,jerk_ratio_pred_over_gt,chunk_boundary_discontinuity,on_grid_fraction,mse_proprio_ablated,proprio_leakage_gap,grasp_precision,grasp_recall,grasp_f1,grasp_onset_timing_error_signed_steps,grasp_spurious_transitions,grasp_n_gt_events,grasp_n_pred_events,mse__std,mae__std,normalized_mse__std,final_position_error__std,mean_squared_jerk_pred__std,mean_squared_jerk_gt__std,jerk_ratio_pred_over_gt__std,chunk_boundary_discontinuity__std,on_grid_fraction__std,mse_proprio_ablated__std,proprio_leakage_gap__std,grasp_precision__std,grasp_recall__std,grasp_f1__std,grasp_onset_timing_error_signed_steps__std,grasp_spurious_transitions__std,grasp_n_gt_events__std,grasp_n_pred_events__std
R0_base_ACT_handsin,R0_base_ACT_handsin,base,bottle_cupnoodles_shelf,motion_token,1,0.32156991958618164,0.47524622082710266,57.924705505371094,4.4773736000061035,0.2028084397315979,0.0012229096610099077,165.84090076131534,0.10020467638969421,1.0,0.3214942216873169,-7.56978988647461e-05,,,,,,,,,,,,,,,,,,,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,cup_wipe_sponge_dryingrack,motion_token,1,0.35311248898506165,0.5085956454277039,111.7862777709961,4.8472771644592285,0.1996230185031891,0.0009948730003088713,200.65176001480944,0.10141296684741974,1.0,0.3529813885688782,-0.00013110041618347168,,,,,,,,,,,,,,,,,,,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,floor_box_table,motion_token,1,0.36180379986763,0.49897971749305725,45.52570343017578,4.625,0.28845202922821045,0.001409223536029458,204.6886259371847,0.14118818938732147,1.0,0.3618355989456177,3.17990779876709e-05,,,,,,,,,,,,,,,,,,,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,AGGREGATE,motion_token,3,0.34549540281295776,0.4942738612492879,71.74556223551433,4.64988358815511,0.23029449582099915,0.0012090020657827456,190.39376223776983,0.11426861087481181,1.0,0.34543706973393756,-5.833307902018229e-05,,,,,,,,0.01728595348716065,0.014015582816709482,28.76198867209061,0.15203411123469776,0.041144142929533105,0.00016944351569522364,17.439539876007448,0.01904140701954448,0.0,0.017311734744320424,6.762747975233711e-05,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,bottle_cupnoodles_shelf,right_hand_joints,1,0.2517234683036804,0.4231199026107788,1.5499646663665771,1.0240663290023804,0.001437604078091681,0.00014900689711794257,9.64790292192839,0.0029590039048343897,,0.2517138719558716,-9.59634780883789e-06,0.0,0.0,,,14.0,5.0,14.0,,,,,,,,,,,,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,cup_wipe_sponge_dryingrack,right_hand_joints,1,0.2690315544605255,0.48494866490364075,1.1701858043670654,0.23677487671375275,0.0016028539976105094,0.0003470222873147577,4.6188791216072,0.0048822457902133465,,0.26901620626449585,-1.5348196029663086e-05,0.0,0.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,floor_box_table,right_hand_joints,1,0.24971924722194672,0.47643470764160156,1.1006911993026733,0.32989954948425293,0.0011165541363880038,0.00017903179104905576,6.236624958312915,0.002573902253061533,,0.24952970445156097,-0.0001895427703857422,0.2,0.3333333333333333,0.25,0.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,AGGREGATE,right_hand_joints,3,0.2568247566620509,0.4615010917186737,1.2736138900121052,0.5302469184001287,0.001385670737363398,0.00022502032516058534,6.834469000616168,0.003471717316036423,,0.2567532608906428,-7.149577140808105e-05,0.06666666666666667,0.1111111111111111,0.25,0.0,7.0,3.6666666666666665,7.333333333333333,0.008670204146222096,0.027361269769109155,0.19745833100860113,0.35124659797671076,0.00020189880743523803,8.713488639649345e-05,2.0961604932570355,0.0010097091174846532,,0.008716938256570729,8.350485580776246e-05,0.09428090415820635,0.15713484026367722,0.0,0.0,4.96655480858378,0.9428090415820634,4.784233364802441
R0_base_ACT_handsin,R0_base_ACT_handsin,base,bottle_cupnoodles_shelf,all,1,0.31650859117507935,0.471468985080719,53.83963394165039,4.592993259429932,0.18821635842323303,0.0011450906749814749,164.36808240210146,0.09315789490938187,,0.31643766164779663,-7.092952728271484e-05,,,,,,,,,,,,,,,,,,,,,,,,,
R0_base_ACT_handsin,R0_base_ACT_handsin,base,cup_wipe_sponge_dryingrack,all,1,0.3536146283149719,0.5091720819473267,108.44815826416016,4.853331565856934,0.19362066686153412,0.0009745923453010619,198.6683640550477,0.09848089516162872,,0.353500634431839,-0.00011399388313293457,,,,,,,,,,,,,,,,,,,,,,,,,
